Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
8600000US12601,ZCTA5 12601,41037,22296,11673,1040,41037,7043
8600000US12603,ZCTA5 12603,42140,32123,4961,1869,42140,5085
8600000US12604,ZCTA5 12604,594,365,44,123,594,51
8600000US12701,ZCTA5 12701,11278,6601,1904,380,11278,3160
8600000US12719,ZCTA5 12719,1229,1169,39,9,1229,48
8600000US12720,ZCTA5 12720,109,109,0,0,109,0
8600000US12721,ZCTA5 12721,5881,4686,416,69,5881,864
8600000US12722,ZCTA5 12722,21,21,0,0,21,0
8600000US12723,ZCTA5 12723,1561,1306,136,5,1561,182
8600000US12724,ZCTA5 12724,246,166,0,11,246,0
8600000US12725,ZCTA5 12725,147,138,0,3,147,6
8600000US12726,ZCTA5 12726,1440,1212,84,3,1440,112
8600000US12729,ZCTA5 12729,1650,1288,242,51,1650,134
8600000US12732,ZCTA5 12732,753,713,0,0,753,56
8600000US12733,ZCTA5 12733,1129,677,184,8,1129,273
8600000US12734,ZCTA5 12734,828,734,0,0,828,219
8600000US12736,ZCTA5 12736,90,74,0,0,90,16
8600000US12737,ZCTA5 12737,1800,1624,33,28,1800,159
8600000US12738,ZCTA5 12738,322,322,0,0,322,11
8600000US12740,ZCTA5 12740,1927,1609,63,0,1927,186
8600000US12741,ZCTA5 12741,175,172,3,0,175,6
8600000US12742,ZCTA5 12742,74,67,7,0,74,38
8600000US12743,ZCTA5 12743,391,383,3,0,391,0
8600000US12745,ZCTA5 12745,247,88,155,0,247,0
8600000US12746,ZCTA5 12746,663,556,0,55,663,38
8600000US12747,ZCTA5 12747,2072,1737,96,187,2072,277
8600000US12748,ZCTA5 12748,2042,1844,32,24,2042,273
8600000US12749,ZCTA5 12749,393,393,0,0,393,55
8600000US12750,ZCTA5 12750,233,233,0,0,233,0
8600000US12751,ZCTA5 12751,1019,801,109,0,1019,213
8600000US12752,ZCTA5 12752,296,281,7,0,296,8
8600000US12754,ZCTA5 12754,7142,4999,759,145,7142,1872
8600000US12758,ZCTA5 12758,3699,2967,28,28,3699,106
8600000US12759,ZCTA5 12759,2443,1463,594,11,2443,500
8600000US12760,ZCTA5 12760,478,474,0,0,478,89
8600000US12762,ZCTA5 12762,783,765,0,0,783,69
8600000US12763,ZCTA5 12763,684,638,0,0,684,81
8600000US12764,ZCTA5 12764,1770,1606,65,39,1770,40
8600000US12765,ZCTA5 12765,937,937,0,0,937,16
8600000US12766,ZCTA5 12766,248,248,0,0,248,0
8600000US12767,ZCTA5 12767,250,250,0,0,250,12
8600000US12768,ZCTA5 12768,930,896,20,0,930,220
8600000US12769,ZCTA5 12769,229,167,52,0,229,10
8600000US12770,ZCTA5 12770,248,220,0,13,248,54
8600000US12771,ZCTA5 12771,14408,11486,543,354,14408,2079
8600000US12775,ZCTA5 12775,2151,1611,321,20,2151,312
8600000US12776,ZCTA5 12776,2361,2172,25,6,2361,305
8600000US12777,ZCTA5 12777,863,789,17,5,863,55
8600000US12778,ZCTA5 12778,500,488,0,0,500,0
8600000US12779,ZCTA5 12779,1701,1006,260,0,1701,703
8600000US12780,ZCTA5 12780,2165,2008,36,0,2165,57
8600000US12781,ZCTA5 12781,242,139,53,0,242,93
8600000US12783,ZCTA5 12783,1605,1429,79,0,1605,234
8600000US12784,ZCTA5 12784,36,18,18,0,36,0
8600000US12785,ZCTA5 12785,1390,883,167,32,1390,141
8600000US12786,ZCTA5 12786,336,285,0,0,336,60
8600000US12787,ZCTA5 12787,278,238,0,40,278,0
8600000US12788,ZCTA5 12788,2909,2047,527,25,2909,428
8600000US12789,ZCTA5 12789,2009,1410,86,104,2009,573
8600000US12790,ZCTA5 12790,3933,3496,34,189,3933,361
8600000US12791,ZCTA5 12791,745,672,34,0,745,0
8600000US12792,ZCTA5 12792,106,106,0,0,106,0
8600000US12801,ZCTA5 12801,14330,13286,234,133,14330,705
8600000US12803,ZCTA5 12803,8317,8102,1,0,8317,97
8600000US12804,ZCTA5 12804,26112,25088,205,267,26112,483
8600000US12808,ZCTA5 12808,243,223,0,2,243,0
8600000US12809,ZCTA5 12809,3751,3695,0,4,3751,34
8600000US12810,ZCTA5 12810,630,613,3,0,630,16
8600000US12811,ZCTA5 12811,108,102,0,0,108,0
8600000US12812,ZCTA5 12812,214,214,0,0,214,0
8600000US12814,ZCTA5 12814,1259,1220,39,0,1259,0
8600000US12815,ZCTA5 12815,1027,976,0,0,1027,17
8600000US12816,ZCTA5 12816,4642,4434,65,50,4642,119
8600000US12817,ZCTA5 12817,2243,2227,2,14,2243,11
8600000US12819,ZCTA5 12819,236,233,0,0,236,0
8600000US12821,ZCTA5 12821,2839,993,1437,37,2839,743
8600000US12822,ZCTA5 12822,5962,5795,12,0,5962,111
8600000US12823,ZCTA5 12823,527,527,0,0,527,0
8600000US12824,ZCTA5 12824,946,931,15,0,946,26
8600000US12827,ZCTA5 12827,3455,3295,33,46,3455,11
8600000US12828,ZCTA5 12828,9690,9347,9,0,9690,90
8600000US12831,ZCTA5 12831,17389,16871,98,171,17389,576
