Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
8600000US14202,ZCTA5 14202,3749,2246,1071,68,3749,633
8600000US14203,ZCTA5 14203,1819,709,676,132,1819,343
8600000US14204,ZCTA5 14204,8003,1681,5869,66,8003,890
8600000US14206,ZCTA5 14206,20064,15074,2229,658,20064,1552
8600000US14207,ZCTA5 14207,23773,11353,3825,2998,23773,5212
8600000US14208,ZCTA5 14208,10346,1367,8133,449,10346,275
8600000US14209,ZCTA5 14209,7807,3829,3352,192,7807,659
8600000US14210,ZCTA5 14210,14148,11766,988,159,14148,1345
8600000US14211,ZCTA5 14211,22206,3189,14319,2818,22206,1439
8600000US14212,ZCTA5 14212,10973,4690,3506,1490,10973,1009
8600000US14213,ZCTA5 14213,22132,10554,4575,2816,22132,5007
8600000US14214,ZCTA5 14214,19754,9932,6153,1862,19754,1309
8600000US14215,ZCTA5 14215,41340,6639,30027,1462,41340,1902
8600000US14216,ZCTA5 14216,21464,16110,3007,318,21464,2272
8600000US14217,ZCTA5 14217,23017,20220,1246,247,23017,756
8600000US14218,ZCTA5 14218,18935,14986,2419,68,18935,1449
8600000US14219,ZCTA5 14219,11391,10743,90,0,11391,612
8600000US14220,ZCTA5 14220,22641,19814,875,346,22641,2496
8600000US14221,ZCTA5 14221,53727,46465,1715,4085,53727,1262
8600000US14222,ZCTA5 14222,15103,11087,2185,665,15103,1143
8600000US14223,ZCTA5 14223,21734,19608,1256,207,21734,992
8600000US14224,ZCTA5 14224,40903,39408,663,110,40903,820
8600000US14225,ZCTA5 14225,33360,25702,4878,836,33360,1300
8600000US14226,ZCTA5 14226,29920,22910,2973,1885,29920,1670
8600000US14227,ZCTA5 14227,20540,18490,1423,430,20540,674
8600000US14228,ZCTA5 14228,23406,16858,1761,3598,23406,1621
8600000US14261,ZCTA5 14261,5557,3014,755,1204,5557,690
8600000US14301,ZCTA5 14301,11838,7745,3055,68,11838,788
8600000US14302,ZCTA5 14302,255,104,146,5,255,0
8600000US14303,ZCTA5 14303,5652,3654,968,161,5652,573
8600000US14304,ZCTA5 14304,29001,25854,939,592,29001,977
8600000US14305,ZCTA5 14305,17026,10508,5007,118,17026,929
8600000US14411,ZCTA5 14411,13671,11520,1540,90,13671,503
8600000US14414,ZCTA5 14414,6797,6542,46,91,6797,97
8600000US14415,ZCTA5 14415,124,102,0,0,124,0
8600000US14416,ZCTA5 14416,3611,3507,30,19,3611,28
8600000US14418,ZCTA5 14418,932,930,0,0,932,15
8600000US14420,ZCTA5 14420,21124,18575,798,379,21124,2060
8600000US14422,ZCTA5 14422,2074,1959,26,7,2074,75
8600000US14423,ZCTA5 14423,4479,3957,126,62,4479,228
8600000US14424,ZCTA5 14424,28055,26551,342,141,28055,1321
8600000US14425,ZCTA5 14425,12230,11155,581,172,12230,525
8600000US14427,ZCTA5 14427,2073,1812,166,0,2073,18
8600000US14428,ZCTA5 14428,7278,7085,71,35,7278,78
8600000US14432,ZCTA5 14432,5277,5198,19,3,5277,281
8600000US14433,ZCTA5 14433,3920,3763,74,1,3920,69
8600000US14435,ZCTA5 14435,2327,2228,19,6,2327,2
8600000US14437,ZCTA5 14437,11274,9796,918,15,11274,581
8600000US14441,ZCTA5 14441,301,293,0,1,301,15
8600000US14445,ZCTA5 14445,7761,6642,670,20,7761,540
8600000US14450,ZCTA5 14450,42513,38760,783,1514,42513,1612
8600000US14454,ZCTA5 14454,11237,10087,347,369,11237,667
8600000US14456,ZCTA5 14456,19539,15949,1159,555,19539,2236
8600000US14462,ZCTA5 14462,718,694,0,0,718,3
8600000US14464,ZCTA5 14464,7419,7222,69,6,7419,74
8600000US14466,ZCTA5 14466,1526,1488,0,0,1526,0
8600000US14467,ZCTA5 14467,9909,7980,908,643,9909,353
8600000US14468,ZCTA5 14468,17994,17097,433,32,17994,826
8600000US14469,ZCTA5 14469,5646,5489,44,15,5646,50
8600000US14470,ZCTA5 14470,7331,6911,138,81,7331,443
8600000US14471,ZCTA5 14471,2385,2142,162,10,2385,20
8600000US14472,ZCTA5 14472,9271,8927,48,29,9271,105
8600000US14475,ZCTA5 14475,287,270,0,10,287,34
8600000US14476,ZCTA5 14476,2270,2103,11,0,2270,234
8600000US14477,ZCTA5 14477,1460,1411,28,0,1460,0
8600000US14478,ZCTA5 14478,1577,1411,52,47,1577,75
8600000US14479,ZCTA5 14479,140,140,0,0,140,0
8600000US14480,ZCTA5 14480,904,867,30,0,904,7
8600000US14481,ZCTA5 14481,1906,1814,8,20,1906,7
8600000US14482,ZCTA5 14482,8230,7954,91,63,8230,252
8600000US14485,ZCTA5 14485,3976,3786,17,68,3976,210
8600000US14486,ZCTA5 14486,462,462,0,0,462,0
8600000US14487,ZCTA5 14487,5997,5631,6,73,5997,62
8600000US14489,ZCTA5 14489,7065,6049,478,0,7065,396
8600000US14502,ZCTA5 14502,10551,9753,129,371,10551,212
8600000US14504,ZCTA5 14504,1593,1537,2,25,1593,17
8600000US14505,ZCTA5 14505,5277,4989,99,0,5277,137
8600000US14506,ZCTA5 14506,939,930,0,0,939,0
8600000US14507,ZCTA5 14507,894,843,27,5,894,12
8600000US14510,ZCTA5 14510,4571,4093,223,0,4571,389
8600000US14511,ZCTA5 14511,399,328,12,0,399,28
8600000US14512,ZCTA5 14512,4542,4411,10,59,4542,31
8600000US14513,ZCTA5 14513,13749,11826,512,153,13749,1416
8600000US14514,ZCTA5 14514,6293,5476,411,74,6293,80
8600000US14516,ZCTA5 14516,2338,2180,55,37,2338,136
8600000US14517,ZCTA5 14517,2846,2802,42,0,2846,55
8600000US14519,ZCTA5 14519,11537,10693,51,56,11537,207
8600000US14521,ZCTA5 14521,3077,2626,338,0,3077,111
8600000US14522,ZCTA5 14522,9559,9260,51,43,9559,307
8600000US14525,ZCTA5 14525,2524,2437,27,0,2524,60
8600000US14526,ZCTA5 14526,19001,17394,385,651,19001,857
8600000US14527,ZCTA5 14527,12835,12330,108,101,12835,325
8600000US14529,ZCTA5 14529,12,12,0,0,12,0
8600000US14530,ZCTA5 14530,5500,4817,371,55,5500,264
8600000US14532,ZCTA5 14532,3998,3898,3,0,3998,128
8600000US14533,ZCTA5 14533,2254,2135,8,3,2254,74
8600000US14534,ZCTA5 14534,31975,26809,900,2616,31975,1487
8600000US14536,ZCTA5 14536,599,577,0,6,599,0
8600000US14537,ZCTA5 14537,160,160,0,0,160,0
8600000US14539,ZCTA5 14539,60,60,0,0,60,0
8600000US14541,ZCTA5 14541,4584,3253,977,4,4584,369
8600000US14542,ZCTA5 14542,80,80,0,0,80,15
8600000US14543,ZCTA5 14543,3145,2923,117,40,3145,45
8600000US14544,ZCTA5 14544,2280,2242,7,0,2280,97
8600000US14545,ZCTA5 14545,227,205,18,0,227,0
8600000US14546,ZCTA5 14546,4614,4312,201,17,4614,150
8600000US14548,ZCTA5 14548,4132,3893,18,0,4132,156
8600000US14549,ZCTA5 14549,65,65,0,0,65,0
8600000US14550,ZCTA5 14550,1256,1203,29,12,1256,3
8600000US14551,ZCTA5 14551,5392,4741,391,37,5392,392
8600000US14555,ZCTA5 14555,1048,938,53,0,1048,15
8600000US14559,ZCTA5 14559,18584,17877,239,108,18584,661
8600000US14560,ZCTA5 14560,2320,2186,1,2,2320,68
8600000US14561,ZCTA5 14561,2815,2799,0,0,2815,141
8600000US14564,ZCTA5 14564,15359,14197,269,461,15359,146
8600000US14568,ZCTA5 14568,6241,5925,11,23,6241,276
8600000US14569,ZCTA5 14569,5910,5529,173,20,5910,55
8600000US14571,ZCTA5 14571,1314,1179,85,0,1314,16
8600000US14572,ZCTA5 14572,5017,4626,30,0,5017,200
8600000US14580,ZCTA5 14580,53593,48519,1407,1711,53593,1786
8600000US14585,ZCTA5 14585,50,50,0,0,50,13
8600000US14586,ZCTA5 14586,11848,8185,1207,2127,11848,286
8600000US14588,ZCTA5 14588,191,120,0,0,191,0
8600000US14589,ZCTA5 14589,7502,6858,206,4,7502,487
8600000US14590,ZCTA5 14590,5420,5079,63,22,5420,152
8600000US14591,ZCTA5 14591,1556,1399,0,0,1556,105
8600000US14592,ZCTA5 14592,48,48,0,0,48,0
8600000US14604,ZCTA5 14604,2536,1811,378,190,2536,151
8600000US14605,ZCTA5 14605,11457,3176,5842,571,11457,3852
8600000US14606,ZCTA5 14606,27711,17891,6071,1036,27711,4082
8600000US14607,ZCTA5 14607,16880,13615,1799,513,16880,1390
8600000US14608,ZCTA5 14608,11260,3443,6123,511,11260,1432
8600000US14609,ZCTA5 14609,40081,20675,13704,332,40081,6887
8600000US14610,ZCTA5 14610,13373,11440,865,364,13373,706
8600000US14611,ZCTA5 14611,17429,4618,10491,298,17429,2571
8600000US14612,ZCTA5 14612,34316,29075,2530,541,34316,2242
8600000US14613,ZCTA5 14613,15375,4932,8008,923,15375,3131
8600000US14614,ZCTA5 14614,1151,469,621,10,1151,267
8600000US14615,ZCTA5 14615,16812,10353,4008,1228,16812,2058
8600000US14616,ZCTA5 14616,26935,21504,3138,480,26935,2328
8600000US14617,ZCTA5 14617,21985,19448,1100,261,21985,1578
8600000US14618,ZCTA5 14618,23252,18985,1211,1805,23252,874
8600000US14619,ZCTA5 14619,13788,3349,9566,59,13788,930
8600000US14620,ZCTA5 14620,23912,16778,3317,1985,23912,1788
8600000US14621,ZCTA5 14621,33757,12516,14432,345,33757,13252
8600000US14622,ZCTA5 14622,12906,10761,1052,449,12906,1507
8600000US14623,ZCTA5 14623,24720,17431,2725,3363,24720,1367
8600000US14624,ZCTA5 14624,37873,31162,4051,824,37873,1887
8600000US14625,ZCTA5 14625,10051,9345,80,185,10051,284
8600000US14626,ZCTA5 14626,29941,25607,1987,797,29941,2081
8600000US14627,ZCTA5 14627,2280,1581,246,337,2280,191
8600000US14701,ZCTA5 14701,39214,35344,995,101,39214,3108
8600000US14706,ZCTA5 14706,6110,5639,98,77,6110,53
8600000US14707,ZCTA5 14707,90,87,0,0,90,0
8600000US14708,ZCTA5 14708,239,233,0,0,239,4
8600000US14709,ZCTA5 14709,1421,1386,2,20,1421,25
8600000US14710,ZCTA5 14710,3244,3187,0,32,3244,22
8600000US14711,ZCTA5 14711,1874,1793,1,15,1874,9
8600000US14712,ZCTA5 14712,3051,3043,0,0,3051,0
8600000US14714,ZCTA5 14714,604,599,0,0,604,0
8600000US14715,ZCTA5 14715,2585,2532,3,11,2585,32
8600000US14716,ZCTA5 14716,2640,2019,257,19,2640,363
8600000US14717,ZCTA5 14717,394,385,0,0,394,2
8600000US14718,ZCTA5 14718,1899,1621,198,10,1899,59
8600000US14719,ZCTA5 14719,3283,3138,8,5,3283,83
8600000US14720,ZCTA5 14720,749,675,0,0,749,39
8600000US14721,ZCTA5 14721,160,160,0,0,160,7
8600000US14722,ZCTA5 14722,214,154,26,0,214,12
8600000US14723,ZCTA5 14723,1098,1093,0,0,1098,20
8600000US14724,ZCTA5 14724,2723,2644,5,7,2723,28
8600000US14726,ZCTA5 14726,1980,1950,0,0,1980,4
8600000US14727,ZCTA5 14727,5385,5284,4,18,5385,60
8600000US14728,ZCTA5 14728,1056,1018,0,0,1056,7
8600000US14729,ZCTA5 14729,990,987,2,0,990,3
8600000US14731,ZCTA5 14731,1291,1244,0,0,1291,5
8600000US14732,ZCTA5 14732,180,180,0,0,180,0
8600000US14733,ZCTA5 14733,3655,3528,35,1,3655,37
8600000US14735,ZCTA5 14735,2900,2860,0,0,2900,34
8600000US14736,ZCTA5 14736,188,188,0,0,188,0
8600000US14737,ZCTA5 14737,4272,4050,7,4,4272,224
8600000US14738,ZCTA5 14738,3319,3297,22,0,3319,56
8600000US14739,ZCTA5 14739,2421,2383,16,0,2421,2
8600000US14740,ZCTA5 14740,1032,1014,0,0,1032,4
8600000US14741,ZCTA5 14741,1796,1758,0,8,1796,3
8600000US14742,ZCTA5 14742,244,235,5,0,244,4
8600000US14743,ZCTA5 14743,1938,1754,115,7,1938,23
8600000US14744,ZCTA5 14744,2103,1893,87,87,2103,52
8600000US14747,ZCTA5 14747,2015,1987,5,0,2015,5
8600000US14748,ZCTA5 14748,548,382,0,3,548,0
8600000US14750,ZCTA5 14750,4277,4080,4,39,4277,228
8600000US14752,ZCTA5 14752,339,339,0,0,339,0
8600000US14753,ZCTA5 14753,1182,1151,3,0,1182,6
8600000US14754,ZCTA5 14754,533,531,0,0,533,1
8600000US14755,ZCTA5 14755,3146,2890,91,0,3146,61
8600000US14756,ZCTA5 14756,28,28,0,0,28,0
8600000US14757,ZCTA5 14757,3371,3084,100,10,3371,85
8600000US14760,ZCTA5 14760,17567,16158,464,237,17567,260
8600000US14767,ZCTA5 14767,2224,2222,0,2,2224,22
8600000US14769,ZCTA5 14769,996,988,2,0,996,40
8600000US14770,ZCTA5 14770,2761,2686,2,8,2761,27
8600000US14772,ZCTA5 14772,3995,3848,37,0,3995,45
8600000US14774,ZCTA5 14774,137,128,0,0,137,9
8600000US14775,ZCTA5 14775,2520,2468,4,14,2520,142
8600000US14777,ZCTA5 14777,673,636,0,16,673,11
8600000US14778,ZCTA5 14778,1349,1052,144,68,1349,114
8600000US14779,ZCTA5 14779,6537,4623,97,35,6537,295
8600000US14781,ZCTA5 14781,1782,1701,0,7,1782,49
8600000US14782,ZCTA5 14782,2272,2184,37,9,2272,17
8600000US14783,ZCTA5 14783,306,134,5,23,306,0
8600000US14784,ZCTA5 14784,938,938,0,0,938,0
8600000US14787,ZCTA5 14787,4759,4407,4,99,4759,226
8600000US14788,ZCTA5 14788,28,25,1,0,28,1
8600000US14801,ZCTA5 14801,5234,5137,14,0,5234,24
8600000US14802,ZCTA5 14802,4171,3288,445,196,4171,367
8600000US14803,ZCTA5 14803,782,749,9,14,782,17
8600000US14804,ZCTA5 14804,1739,1646,0,29,1739,7
8600000US14805,ZCTA5 14805,958,947,0,0,958,0
8600000US14806,ZCTA5 14806,2060,2050,0,0,2060,11
8600000US14807,ZCTA5 14807,3070,2947,6,7,3070,133
8600000US14808,ZCTA5 14808,514,493,0,0,514,13
8600000US14809,ZCTA5 14809,2676,2517,22,8,2676,58
8600000US14810,ZCTA5 14810,11673,10792,614,37,11673,161
8600000US14812,ZCTA5 14812,3200,3038,5,8,3200,151
8600000US14813,ZCTA5 14813,2264,2100,123,4,2264,47
8600000US14814,ZCTA5 14814,1883,1805,11,60,1883,0
8600000US14815,ZCTA5 14815,776,755,0,0,776,5
8600000US14816,ZCTA5 14816,544,478,0,38,544,131
8600000US14817,ZCTA5 14817,2508,2127,68,49,2508,66
8600000US14818,ZCTA5 14818,2029,1958,0,18,2029,44
8600000US14819,ZCTA5 14819,696,675,0,8,696,6
8600000US14820,ZCTA5 14820,807,767,0,0,807,8
8600000US14821,ZCTA5 14821,3141,3062,9,33,3141,63
8600000US14822,ZCTA5 14822,947,930,0,16,947,24
8600000US14823,ZCTA5 14823,3467,3258,18,150,3467,20
8600000US14824,ZCTA5 14824,639,633,0,0,639,0
8600000US14825,ZCTA5 14825,784,772,1,5,784,0
8600000US14826,ZCTA5 14826,2271,2186,19,0,2271,10
8600000US14827,ZCTA5 14827,146,146,0,0,146,0
8600000US14830,ZCTA5 14830,19138,18032,400,344,19138,323
8600000US14836,ZCTA5 14836,931,887,0,0,931,0
8600000US14837,ZCTA5 14837,5947,5726,75,10,5947,33
8600000US14838,ZCTA5 14838,2039,1997,3,16,2039,0
8600000US14839,ZCTA5 14839,881,879,0,0,881,0
8600000US14840,ZCTA5 14840,2730,2630,28,0,2730,64
8600000US14841,ZCTA5 14841,665,639,0,0,665,0
8600000US14842,ZCTA5 14842,1111,1111,0,0,1111,0
8600000US14843,ZCTA5 14843,12447,11603,184,161,12447,393
8600000US14845,ZCTA5 14845,20401,17998,667,818,20401,360
8600000US14846,ZCTA5 14846,966,960,1,0,966,3
8600000US14847,ZCTA5 14847,2375,2262,12,12,2375,48
8600000US14850,ZCTA5 14850,64224,46874,2910,9164,64224,4025
8600000US14853,ZCTA5 14853,2663,1867,323,176,2663,404
8600000US14854,ZCTA5 14854,14,14,0,0,14,0
8600000US14855,ZCTA5 14855,785,753,0,20,785,10
8600000US14856,ZCTA5 14856,275,275,0,0,275,0
8600000US14858,ZCTA5 14858,1232,1148,0,1,1232,2
8600000US14859,ZCTA5 14859,1076,1039,0,0,1076,4
8600000US14860,ZCTA5 14860,1132,1088,7,10,1132,6
8600000US14861,ZCTA5 14861,1153,1153,0,0,1153,0
8600000US14864,ZCTA5 14864,961,922,0,2,961,41
8600000US14865,ZCTA5 14865,2784,2682,50,0,2784,17
8600000US14867,ZCTA5 14867,5431,5261,87,0,5431,70
8600000US14869,ZCTA5 14869,1276,1270,0,0,1276,29
8600000US14870,ZCTA5 14870,10202,9088,256,605,10202,77
8600000US14871,ZCTA5 14871,5081,4736,196,0,5081,131
8600000US14872,ZCTA5 14872,547,516,0,0,547,50
8600000US14873,ZCTA5 14873,2328,2104,5,93,2328,12
8600000US14874,ZCTA5 14874,260,258,2,0,260,0
8600000US14877,ZCTA5 14877,583,572,0,2,583,0
8600000US14878,ZCTA5 14878,536,530,0,0,536,12
8600000US14879,ZCTA5 14879,2257,2160,9,26,2257,9
8600000US14880,ZCTA5 14880,1847,1781,3,31,1847,26
8600000US14881,ZCTA5 14881,151,151,0,0,151,0
8600000US14882,ZCTA5 14882,3998,3738,37,79,3998,209
8600000US14883,ZCTA5 14883,4808,4416,217,97,4808,82
8600000US14884,ZCTA5 14884,284,284,0,0,284,3
8600000US14885,ZCTA5 14885,742,725,0,0,742,12
8600000US14886,ZCTA5 14886,6490,6265,108,6,6490,133
8600000US14889,ZCTA5 14889,1580,1542,7,5,1580,97
8600000US14891,ZCTA5 14891,4536,4224,54,109,4536,127
8600000US14892,ZCTA5 14892,7748,7334,154,42,7748,179
8600000US14893,ZCTA5 14893,0,0,0,0,0,0
8600000US14894,ZCTA5 14894,1051,1028,7,0,1051,5
8600000US14895,ZCTA5 14895,8957,8703,71,24,8957,26
8600000US14897,ZCTA5 14897,772,772,0,0,772,5
8600000US14898,ZCTA5 14898,1772,1751,0,0,1772,0
8600000US14901,ZCTA5 14901,15581,12217,2296,125,15581,621
8600000US14903,ZCTA5 14903,7186,6441,196,23,7186,262
8600000US14904,ZCTA5 14904,15109,12721,1382,2,15109,635
8600000US14905,ZCTA5 14905,8330,7431,215,172,8330,344
