Data Year,County,ZIP Code,Numerator,Rate
2019,Suffolk,11706,214,338.4
2019,Nassau,11709,16,238.6
2019,Nassau,11710,58,167.6
2019,Suffolk,11713,17,148.8
2019,Nassau,11714,50,217.2
2019,Suffolk,11715,10,223.3
2019,Suffolk,11716,46,436.8
2019,Suffolk,11717,114,185.1
2019,Suffolk,11718,s,s
2019,Suffolk,11719,8,227.8*
2019,Suffolk,11720,127,435.8
2019,Suffolk,11721,6,98.4*
2019,Suffolk,11722,92,262
2019,Suffolk,11724,s,s
2019,Suffolk,11725,54,190.6
2019,Suffolk,11726,41,204.3
2019,Suffolk,11727,137,457
2019,Suffolk,11729,66,248.7
2019,Suffolk,11730,20,128.6
2019,Suffolk,11731,58,197.4
2019,Nassau,11732,s,s
2019,Suffolk,11733,51,272.5
2019,Nassau,11735,75,234.4
2019,Suffolk,11738,69,405.4
2019,Suffolk,11740,15,160.7
2019,Suffolk,11741,94,347.6
2019,Suffolk,11742,39,288.1
2019,Suffolk,11743,43,104.2
2019,Suffolk,11746,110,164
2019,Suffolk,11747,28,139.1
2019,Suffolk,11749,10,268.5
2019,Suffolk,11751,51,363.6
2019,Suffolk,11752,26,270.8
2019,Nassau,11753,s,s
2019,Suffolk,11754,36,195.7
2019,Suffolk,11755,35,277.8
2019,Nassau,11756,146,344.4
2019,Suffolk,11757,135,307.9
2019,Nassau,11758,103,190.4
2019,Nassau,11762,71,313.3
2019,Suffolk,11763,130,446.1
2019,Suffolk,11764,32,238.7
2019,Nassau,11765,0,0.0*
2019,Suffolk,11766,48,379.7
2019,Suffolk,11767,34,236.7
2019,Suffolk,11768,34,158.6
2019,Suffolk,11769,34,357.6
2019,Nassau,11771,19,171.9
2019,Suffolk,11772,156,343.6
2019,Suffolk,11776,125,523.8
2019,Suffolk,11777,54,592.7
2019,Suffolk,11778,63,484.8
2019,Suffolk,11779,217,581.8
2019,Suffolk,11780,39,252.5
2019,Suffolk,11782,37,234.5
2019,Nassau,11783,54,253.9
2019,Suffolk,11784,94,398.5
2019,Suffolk,11786,18,302.4
2019,Suffolk,11787,75,212.3
2019,Suffolk,11788,38,228.5
2019,Suffolk,11789,41,527.8
2019,Suffolk,11790,22,123
2019,Nassau,11791,24,95
2019,Suffolk,11792,24,280.9
2019,Nassau,11793,50,152.8
2019,Suffolk,11794,8,260.8*
2019,Suffolk,11795,79,316.4
2019,Suffolk,11796,7,194.2*
2019,Nassau,11797,s,s
2019,Suffolk,11798,30,189.8
2019,Nassau,11801,82,207.4
2019,Nassau,11803,30,103.5
2019,Nassau,11804,s,s
2019,Suffolk,11901,117,405.3
2019,Suffolk,11933,30,366.5
2019,Suffolk,11934,20,254.4
2019,Suffolk,11935,9,234.1*
2019,Suffolk,11937,21,111.6
2019,Suffolk,11939,s,s
2019,Suffolk,11940,22,413.8
2019,Suffolk,11941,7,159.9*
2019,Suffolk,11942,14,249.8
2019,Suffolk,11944,23,504.8
2019,Suffolk,11946,26,181.5
2019,Suffolk,11948,s,s
2019,Suffolk,11949,33,214.5
2019,Suffolk,11950,109,665.7
2019,Suffolk,11951,119,835.4
2019,Suffolk,11952,8,172.8*
2019,Suffolk,11953,54,393.1
2019,Suffolk,11954,8,231.9*
2019,Suffolk,11955,19,578.9
2019,Suffolk,11957,s,s
2019,Suffolk,11958,s,s
2019,Suffolk,11961,70,521.6
2019,Suffolk,11963,12,139.8
2019,Suffolk,11964,s,s
2019,Suffolk,11965,s,s
2019,Suffolk,11967,195,737.9
2019,Suffolk,11968,28,242.1
2019,Suffolk,11971,9,157.5*
2019,Suffolk,11976,0,0.0*
2019,Suffolk,11977,s,s
2019,Suffolk,11978,0,0.0*
2019,Suffolk,11980,14,294.3
2019,Albany,12007,6,4000.0*
2019,Schenectady,12008,0,0.0*
2019,Albany,12009,12,155
2019,Montgomery,12010,80,276.1
2019,Greene,12015,10,268.4
2019,Columbia,12017,0,0.0*
2019,Rensselaer,12018,15,188.7
2019,Saratoga,12019,6,39.0*
2019,Saratoga,12020,37,112.8
2019,Rensselaer,12022,0,0.0*
2019,Albany,12023,s,s
2019,Columbia,12024,0,0.0*
2019,Fulton,12025,11,198.2
2019,Saratoga,12027,s,s
2019,Rensselaer,12028,0,0.0*
2019,Columbia,12029,0,0.0*
2019,Fulton,12032,0,0.0*
2019,Rensselaer,12033,21,257.4
2019,Schoharie,12035,0,0.0*
2019,Schoharie,12036,0,0.0*
2019,Columbia,12037,s,s
2019,Albany,12041,0,0.0*
2019,Greene,12042,s,s
2019,Schoharie,12043,10,124.5
2019,Albany,12046,s,s
2019,Albany,12047,72,338.4
2019,Greene,12051,9,152.2*
2019,Rensselaer,12052,s,s
2019,Schenectady,12053,9,200.6*
2019,Albany,12054,s,s
2019,Schenectady,12056,s,s
2019,Washington,12057,6,329.7*
2019,Greene,12058,s,s
2019,Albany,12059,s,s
2019,Columbia,12060,s,s
2019,Rensselaer,12061,22,245.4
2019,Rensselaer,12062,s,s
2019,Otsego,12064,s,s
2019,Saratoga,12065,63,146.8
2019,Schoharie,12066,s,s
2019,Albany,12067,s,s
2019,Montgomery,12068,9,260.4*
2019,Montgomery,12070,s,s
2019,Schoharie,12071,0,0.0*
2019,Montgomery,12072,7,247.5*
2019,Saratoga,12074,6,221.7*
2019,Columbia,12075,s,s
2019,Schoharie,12076,s,s
2019,Albany,12077,16,247.9
2019,Fulton,12078,64,278.6
2019,Greene,12083,s,s
2019,Albany,12084,6,119.2*
2019,Montgomery,12086,s,s
2019,Greene,12087,6,500.8*
2019,Rensselaer,12090,15,244.6
2019,Schoharie,12092,s,s
2019,Schoharie,12093,s,s
2019,Rensselaer,12094,s,s
2019,Fulton,12095,23,188.2
2019,Columbia,12106,8,348.9*
2019,Hamilton,12108,0,0.0*
2019,Albany,12110,30,150.3
2019,Columbia,12115,0,0.0*
2019,Otsego,12116,s,s
2019,Fulton,12117,12,404.4
2019,Saratoga,12118,25,154.1
2019,Albany,12120,s,s
2019,Rensselaer,12121,s,s
2019,Schoharie,12122,16,366.6
2019,Rensselaer,12123,17,310.6
2019,Columbia,12125,s,s
2019,Columbia,12130,s,s
2019,Schoharie,12131,0,0.0*
2019,Fulton,12134,6,167.5*
2019,Columbia,12136,0,0.0*
2019,Schenectady,12137,s,s
2019,Rensselaer,12138,8,245.6*
2019,Hamilton,12139,0,0.0*
2019,Rensselaer,12140,0,0.0*
2019,Albany,12143,16,281.4
2019,Rensselaer,12144,54,257.1
2019,Albany,12147,0,0.0*
2019,Saratoga,12148,s,s
2019,Schoharie,12149,s,s
2019,Schenectady,12150,9,1074.0*
2019,Saratoga,12151,s,s
2019,Rensselaer,12153,s,s
2019,Rensselaer,12154,s,s
2019,Otsego,12155,0,0.0*
2019,Rensselaer,12156,s,s
2019,Schoharie,12157,6,155.6*
2019,Albany,12158,10,145.4
2019,Albany,12159,6,75.3*
2019,Schoharie,12160,0,0.0*
2019,Hamilton,12164,0,0.0*
2019,Columbia,12165,0,0.0*
2019,Montgomery,12166,0,0.0*
2019,Delaware,12167,8,310.6*
2019,Rensselaer,12168,s,s
2019,Rensselaer,12169,s,s
